,school,sex,age,address,Mjob,Fjob,guardian,traveltime,studytime,paid,nursery,internet,absences,G1,G2,G3,G3_pred
0,GP,F,18,U,at_home,teacher,mother,2,2,no,yes,no,6,5,6,D,D
1,GP,F,17,U,at_home,other,father,1,2,no,no,yes,4,5,5,D,D
2,GP,F,15,U,at_home,other,mother,1,2,yes,yes,yes,10,7,8,C,C
3,GP,F,15,U,health,services,mother,1,3,yes,yes,yes,2,15,14,A,A
4,GP,F,16,U,other,other,father,1,2,yes,yes,no,4,6,10,C,C
5,GP,M,16,U,services,other,mother,1,2,yes,yes,yes,10,15,15,A,A
6,GP,M,16,U,other,other,mother,1,2,no,yes,yes,0,12,12,B,B
7,GP,F,17,U,other,teacher,mother,2,2,no,yes,no,6,6,5,D,D
8,GP,M,15,U,services,other,mother,1,2,yes,yes,yes,0,16,18,A,A
9,GP,M,15,U,other,other,mother,1,2,yes,yes,yes,0,14,15,A,A
10,GP,F,15,U,teacher,health,mother,1,2,yes,yes,yes,0,10,8,C,C
11,GP,F,15,U,services,other,father,3,3,no,yes,yes,4,10,12,B,B
12,GP,M,15,U,health,services,father,1,1,yes,yes,yes,2,14,14,A,A
13,GP,M,15,U,teacher,other,mother,2,2,yes,yes,yes,2,10,10,B,C
14,GP,M,15,U,other,other,other,1,3,no,yes,yes,0,14,16,A,A
15,GP,F,16,U,health,other,mother,1,1,no,yes,yes,4,14,14,A,A
16,GP,F,16,U,services,services,mother,1,3,yes,yes,yes,6,13,14,A,A
17,GP,F,16,U,other,other,mother,3,2,no,yes,no,4,8,10,C,D
18,GP,M,17,U,services,services,mother,1,1,no,yes,yes,16,6,5,D,D
19,GP,M,16,U,health,other,father,1,1,yes,yes,yes,4,8,10,C,C
20,GP,M,15,U,teacher,other,mother,1,2,no,yes,yes,0,13,14,A,A
21,GP,M,15,U,health,health,father,1,1,yes,yes,yes,0,12,15,A,A
22,GP,M,16,U,teacher,other,mother,1,2,no,yes,yes,2,15,15,A,A
