,school,sex,age,address,Mjob,Fjob,guardian,traveltime,studytime,paid,nursery,internet,absences,G1,G2,G3,G3_pred
64,GP,F,18.0,U,at_home,teacher,mother,2.0,2.0,no,yes,no,6.0,5.0,6.0,D,B
55,,,,,,,,,,,,,,,,,C
343,GP,F,15.0,U,at_home,other,mother,1.0,2.0,yes,yes,yes,10.0,7.0,8.0,C,D
219,GP,F,15.0,U,health,services,mother,1.0,3.0,yes,yes,yes,2.0,15.0,14.0,A,C
366,GP,F,16.0,U,other,other,father,1.0,2.0,yes,yes,no,4.0,6.0,10.0,C,B
368,,,,,,,,,,,,,,,,,C
319,,,,,,,,,,,,,,,,,C
301,,,,,,,,,,,,,,,,,B
56,GP,M,15.0,U,services,other,mother,1.0,2.0,yes,yes,yes,0.0,16.0,18.0,A,A
8,GP,M,15.0,U,other,other,mother,1.0,2.0,yes,yes,yes,0.0,14.0,15.0,A,A
191,,,,,,,,,,,,,,,,,D
141,GP,F,15.0,U,services,other,father,3.0,3.0,no,yes,yes,4.0,10.0,12.0,B,C
332,,,,,,,,,,,,,,,,,D
296,GP,M,15.0,U,teacher,other,mother,2.0,2.0,yes,yes,yes,2.0,10.0,10.0,B,C
378,GP,M,15.0,U,other,other,other,1.0,3.0,no,yes,yes,0.0,14.0,16.0,A,A
239,,,,,,,,,,,,,,,,,D
63,GP,F,16.0,U,services,services,mother,1.0,3.0,yes,yes,yes,6.0,13.0,14.0,A,C
245,GP,F,16.0,U,other,other,mother,3.0,2.0,no,yes,no,4.0,8.0,10.0,C,A
154,GP,M,17.0,U,services,services,mother,1.0,1.0,no,yes,yes,16.0,6.0,5.0,D,B
311,GP,M,16.0,U,health,other,father,1.0,1.0,yes,yes,yes,4.0,8.0,10.0,C,B
81,,,,,,,,,,,,,,,,,B
344,GP,M,15.0,U,health,health,father,1.0,1.0,yes,yes,yes,0.0,12.0,15.0,A,B
336,GP,M,16.0,U,teacher,other,mother,1.0,2.0,no,yes,yes,2.0,15.0,15.0,A,B
124,GP,M,16.0,U,other,other,mother,2.0,2.0,no,yes,yes,0.0,13.0,13.0,B,C
250,GP,F,15.0,R,services,health,mother,1.0,3.0,yes,yes,yes,2.0,10.0,9.0,C,D
89,GP,F,16.0,U,services,services,mother,1.0,1.0,yes,no,yes,14.0,6.0,9.0,C,D
181,,,,,,,,,,,,,,,,,B
21,GP,M,15.0,U,health,services,mother,1.0,1.0,yes,yes,yes,4.0,15.0,16.0,A,A
170,GP,M,16.0,U,services,other,mother,1.0,2.0,no,yes,yes,4.0,11.0,11.0,B,D
206,GP,M,16.0,U,teacher,teacher,mother,1.0,2.0,yes,yes,yes,16.0,10.0,12.0,B,D
173,GP,M,15.0,U,health,services,mother,1.0,2.0,yes,no,yes,0.0,9.0,11.0,B,D
49,GP,M,15.0,U,services,services,mother,2.0,2.0,no,yes,yes,0.0,17.0,16.0,A,D
358,GP,M,15.0,R,teacher,at_home,mother,1.0,2.0,no,yes,yes,0.0,17.0,16.0,A,C
196,GP,M,15.0,U,other,other,mother,1.0,2.0,no,no,yes,0.0,8.0,10.0,B,A
92,GP,M,16.0,U,other,other,mother,1.0,1.0,yes,no,yes,0.0,12.0,14.0,A,D
221,GP,F,15.0,U,other,other,father,2.0,1.0,no,yes,no,0.0,8.0,7.0,D,D
218,GP,M,15.0,U,teacher,services,mother,1.0,3.0,no,yes,yes,2.0,15.0,16.0,A,C
355,,,,,,,,,,,,,,,,,C
134,GP,F,15.0,R,services,health,mother,1.0,3.0,yes,yes,yes,2.0,12.0,12.0,B,D
175,GP,F,15.0,R,at_home,other,mother,1.0,1.0,yes,yes,no,8.0,14.0,13.0,B,C
22,GP,F,16.0,U,other,other,mother,2.0,2.0,no,no,yes,25.0,7.0,10.0,B,A
241,GP,M,15.0,U,teacher,other,other,1.0,1.0,no,no,yes,8.0,12.0,12.0,B,C
122,GP,M,15.0,U,services,teacher,father,1.0,2.0,no,yes,yes,2.0,19.0,18.0,A,B
176,GP,M,15.0,U,services,services,father,1.0,1.0,no,yes,yes,0.0,8.0,8.0,B,A
162,GP,F,16.0,U,other,at_home,father,2.0,2.0,no,yes,yes,14.0,10.0,10.0,C,D
145,,,,,,,,,,,,,,,,,C
299,GP,F,16.0,U,other,services,mother,1.0,2.0,no,yes,yes,12.0,11.0,12.0,B,A
66,GP,M,16.0,U,health,services,mother,1.0,4.0,no,yes,yes,4.0,19.0,19.0,A,A
303,GP,M,15.0,U,teacher,other,mother,1.0,2.0,yes,yes,no,2.0,15.0,15.0,A,A
229,GP,F,15.0,U,services,teacher,father,1.0,2.0,no,no,yes,2.0,7.0,7.0,D,B
224,GP,F,16.0,U,services,services,mother,3.0,2.0,yes,yes,yes,2.0,12.0,13.0,B,A
101,GP,F,15.0,U,health,other,mother,1.0,2.0,yes,yes,yes,2.0,11.0,13.0,B,A
307,,,,,,,,,,,,,,,,,C
186,GP,F,15.0,U,services,services,mother,1.0,1.0,yes,yes,yes,0.0,8.0,10.0,B,B
331,,,,,,,,,,,,,,,,,B
17,GP,F,16.0,U,other,other,mother,1.0,2.0,yes,yes,yes,8.0,8.0,9.0,C,D
247,GP,F,15.0,U,services,services,mother,1.0,2.0,yes,yes,yes,0.0,14.0,15.0,A,D
179,GP,M,15.0,U,teacher,health,mother,1.0,2.0,no,yes,no,4.0,14.0,15.0,A,C
30,GP,M,15.0,U,other,at_home,father,1.0,2.0,no,yes,yes,2.0,9.0,10.0,C,B
114,,,,,,,,,,,,,,,,,B
356,,,,,,,,,,,,,,,,,B
103,GP,F,16.0,U,services,services,father,4.0,1.0,no,no,yes,6.0,10.0,8.0,B,D
300,GP,F,16.0,U,other,services,father,1.0,2.0,no,yes,yes,4.0,8.0,10.0,C,B
234,GP,F,16.0,U,teacher,health,mother,1.0,3.0,yes,yes,yes,2.0,10.0,9.0,C,C
155,GP,F,15.0,U,services,services,father,1.0,2.0,no,yes,yes,0.0,10.0,10.0,C,C
116,,,,,,,,,,,,,,,,,A
325,GP,M,15.0,U,other,services,mother,1.0,4.0,no,no,yes,4.0,13.0,13.0,B,B
120,GP,F,16.0,U,services,other,mother,1.0,4.0,yes,yes,yes,4.0,7.0,7.0,D,A
360,,,,,,,,,,,,,,,,,B
112,GP,F,15.0,R,other,other,father,2.0,4.0,no,no,yes,12.0,16.0,16.0,A,B
362,GP,M,16.0,U,other,other,father,2.0,4.0,yes,yes,yes,0.0,13.0,15.0,A,B
136,GP,M,15.0,U,other,other,mother,1.0,4.0,no,yes,yes,0.0,10.0,10.0,C,D
271,GP,F,15.0,R,other,other,mother,1.0,2.0,no,no,yes,2.0,8.0,6.0,D,A
126,GP,M,16.0,U,other,other,mother,1.0,1.0,no,yes,no,2.0,12.0,12.0,A,C
159,,,,,,,,,,,,,,,,,B
295,GP,M,15.0,U,teacher,other,mother,1.0,2.0,yes,yes,yes,6.0,9.0,9.0,C,B
384,,,,,,,,,,,,,,,,,C
133,GP,F,16.0,U,other,other,mother,1.0,4.0,yes,yes,yes,0.0,11.0,11.0,B,B
33,,,,,,,,,,,,,,,,,B
373,GP,F,16.0,U,at_home,other,mother,1.0,2.0,no,yes,yes,12.0,5.0,5.0,D,D
34,GP,M,15.0,U,other,services,father,1.0,1.0,yes,no,yes,2.0,10.0,12.0,B,A
